%time,field.data
1612127678946578025,104.313509188
1612127679046911954,105.572131308
1612127679146352052,106.970906708
1612127679246270895,108.36980406
1612127679346364021,109.628800189
1612127679446245908,111.027908046
1612127679546319961,112.287096375
1612127679646466016,113.686375067
1612127679746126890,115.085726213
1612127679846792936,116.34513646
1612127679946190118,117.744612394
1612127680046025037,119.004136348
1612127680146282911,120.403713339
1612127680246234893,121.663329309
1612127680346416950,123.062988075
1612127680446245908,124.322678453
1612127680546840906,125.722403344
1612127680646286010,127.122156226
1612127680746315002,128.381932176
1612127680846684932,129.781733109
1612127680945955991,131.041552712
1612127681046129941,132.441392437
1612127681146246910,133.701247259
1612127681246191024,135.101118278
1612127681346302986,136.3610015
1612127681446098089,137.760897752
1612127681546701908,139.020803859
1612127681646457910,140.420720445
1612127681745896100,141.820645623
1612127681846059083,143.080577949
1612127681946899890,144.480517831
1612127682046267032,145.740463477
1612127682146615028,147.140415193
1612127682246579885,148.400371555
1612127682346276998,149.80033279
1612127682446918964,151.060297768
1612127682545955896,152.460266657
1612127682645894050,153.72023856
1612127682746824979,155.120213602
1612127682846276044,156.380191068
1612127682946842908,157.780171052
1612127683046243906,159.040152986
1612127683146538019,160.440136939
1612127683246676921,161.70012246
1612127683346468925,163.100109599
1612127683446362018,164.500098082
1612127683546319961,165.760087695
1612127683646421909,167.160078469
1612127683746644020,168.42007015
1612127683845948934,169.680062709
1612127683946484088,171.080056101
1612127684046180963,172.480050186
1612127684146089076,173.740044855
1612127684246062994,175.140040121
1612127684346739053,176.400035855
1612127684446263074,177.800032067
1612127684546838045,179.060028654
1612127684646130084,180.460025624
1612127684746526956,181.720022895
1612127684846018075,183.120020471
1612127684946593999,184.380018289
1612127685046364068,185.780016351
1612127685146183967,187.040014606
1612127685246263027,188.440013057
1612127685346189022,189.840011672
1612127685446094989,191.100010425
1612127685546111106,192.360009311
1612127685646040916,193.760008322
1612127685746548891,195.020007432
1612127685846028089,196.280006637
1612127685946922063,197.680005931
1612127686046276092,198.940005296
1612127686146841049,200.340004732
1612127686246124029,201.600004225
1612127686346097946,203.000003775
1612127686446515083,204.260003371
1612127686546612977,205.660003011
1612127686646398067,206.920002688
1612127686746289014,208.320002401
1612127686846273899,209.580002144
